road_name,risk_score
Santa Monica Freeway,1.0
Harbor Freeway,0.8667924607564448
Golden State Freeway,0.7828721661322169
Noakes Street,0.710885973142145
Hollywood Freeway,0.5805980703793427
San Diego Freeway,0.5703450352176774
South Indiana Street,0.43418565247223895
Santa Ana Freeway,0.31011510509291024
South Vermont Avenue,0.26409617296570653
Arroyo Seco Parkway,0.2576211614131881
South Central Avenue,0.2548660608012547
Ventura Freeway,0.1864156386092168
Century Freeway,0.16022782966686736
Unnamed Road,0.12579992438351562
Glendale Freeway,0.11787069581168695
East 92nd Street,0.11330219987957374
Imperial Highway,0.11304314340526234
Harbor Transitway,0.10616414378334477
South Figueroa Street,0.10316749051293182
Pomona Freeway,0.10013933037402153
South La Brea Avenue,0.09428605435985044
San Bernardino Freeway,0.08897189587330037
Veteran Avenue,0.08536961057510536
West Manchester Avenue,0.08144175430243793
East 120th Street,0.0720141990954028
North Indiana Street,0.07090795793482979
Santa Monica Boulevard,0.0655132818954532
West Slauson Avenue,0.06189349278142635
West Florence Avenue,0.05653732513687984
Alba Street,0.05646730987355243
West Vernon Avenue,0.05615224118857911
Campus Road,0.05027095906907706
South Alameda Street,0.04780292103678602
West Imperial Highway,0.045824989847786816
South Western Avenue,0.04312940220968171
Mona Boulevard,0.042065170207105144
Seigneur Avenue,0.040293784044921795
West Gage Avenue,0.03947110470082478
South Spinning Avenue,0.03831585285592259
South Hoover Street,0.037003066668533736
Lanfranco Street,0.03530519653284416
Los Feliz Boulevard,0.035287692717012306
East 4th Street,0.03472757061039306
West Washington Boulevard,0.03451752482041085
Glendale Boulevard,0.033327265343844954
Percy Street,0.03143685323400501
South Croft Avenue,0.0303173091733998
South La Cienega Boulevard,0.029546441124165067
Skirball Center Drive,0.02882878467505916
Crenshaw Boulevard,0.028216151120944364
West Temple Street,0.02751599848767031
West Sunset Boulevard,0.026605800064414042
Whittier Boulevard,0.02620321230028146
East 58th Street,0.02513547953453853
Fortuna Street,0.024942937560388165
Colorado Freeway,0.024659375743912172
Boca Avenue,0.024330304006273368
West Martin Luther King Junior Boulevard,0.023105036898043774
National Boulevard,0.022894991108061556
Sawtelle Boulevard,0.022894991108061556
Venice Boulevard,0.02266744150224749
West Adams Boulevard,0.02214232702729195
East Cesar E Chavez Avenue,0.022054807948132693
South Normandie Avenue,0.021932281237309732
North Figueroa Street,0.02163471636816826
Ohio Avenue,0.02096957136655791
Melrose Avenue,0.02096957136655791
East Slauson Avenue,0.0208645484715668
Zoo Drive North,0.02046196070743422
Arlington Avenue,0.020444456891602368
South Main Street,0.020374441628274963
Stone Street,0.019184182151709073
Waterford Street,0.01916667833587722
West Olympic Boulevard,0.018939128730063152
West 3rd Street,0.018921624914231303
West El Segundo Boulevard,0.01878509515074286
North Broadway,0.018536540965930572
West 51st Street,0.018273983728452802
Denker Avenue,0.017815383753658296
South Santa Fe Avenue,0.017678853990169857
La Salle Avenue,0.017608838726842452
West Century Boulevard,0.01757383109517875
Riverside Drive,0.01736378530519653
Avenue 43,0.01732877767353283
Exposition Boulevard,0.01722375477854172
North State Street,0.0169436937252321
Lansdowne Avenue,0.01683867083024099
Beswick Street,0.016471090697772115
South Soto Street,0.016453586881940263
South Halldale Avenue,0.01617002506546427
North Sepulveda Boulevard,0.015718426617002505
West 63rd Street,0.015543388458683994
Grape Street,0.015487376248022067
Stadium Way,0.015263327405374371
Hollywood Boulevard,0.015193312142046967
South Sepulveda Boulevard,0.015056782378558526
Worth Street,0.01458067858793217
West 8th Place,0.01421309845546329
West Venice Boulevard,0.013849019086160784
North Vermont Avenue,0.013722991612171453
East 8th Street,0.013652976348844048
North Main Street,0.013512945822189237
Fletcher Drive,0.012042625292313725
James M Wood Boulevard,0.011780068054835955
I 110 North,0.011678545923011216
North Soto Street,0.01148250318569448
South Hope Street,0.011429991738198928
East 97th Street,0.011342472659039671
Maple Avenue,0.011272457395712265
East 1st Street,0.011149930684889306
La Tijera Boulevard,0.01095738871073894
South Grand Avenue,0.01093988489490709
South Bundy Drive,0.009942167392491564
North Mission Road,0.00952207581252713
L. A. Live Way,0.009452060549199726
East Olympic Boulevard,0.009417052917536023
West 8th Street,0.00924201475921751
Wilshire Boulevard,0.008961953705907888
East Washington Boulevard,0.008891938442580483
South Boyle Avenue,0.008821923179253077
South Beaudry Avenue,0.008681892652598265
Silver Lake Boulevard,0.00847184686261605
North San Fernando Road,0.008401831599288645
Barry Avenue,0.008331816335961239
West Pico Boulevard,0.008331816335961239
Marengo Street,0.007981740019324212
West 5th Street,0.007911724755996807
Wabash Avenue,0.007771694229341997
West 4th Street,0.007771694229341997
Marina Freeway,0.007736686597678294
Pasadena Avenue,0.007666671334350888
Avenue 26,0.00742161791270497
East 7th Street,0.007351602649377564
West 87th Street,0.007351602649377564
South Los Angeles Street,0.007351602649377564
Forest Lawn Drive,0.007211572122722753
South Church Lane,0.007071541596067943
Colorado Boulevard,0.0070015263327405375
Sepulveda Boulevard,0.006931511069413132
Firth Boulevard,0.006931511069413132
South Flower Street,0.006931511069413132
Arcadia Street,0.006721465279430916
Cahuenga Boulevard West,0.006651450016103511
North Normandie Avenue,0.006651450016103511
Broadway,0.006371388962793889
East 115th Street,0.006371388962793889
6th Street,0.006231358436139078
East 16th Street,0.006161343172811673
North Western Avenue,0.006161343172811673
Compton Avenue,0.006091327909484267
South Broadway,0.006021312646156862
Alpine Street,0.006021312646156862
Bridewell Street,0.006021312646156862
West 120th Street,0.005937294330163975
West 58th Place,0.005881282119502051
South La Tijera Boulevard,0.00574125159284724
West 1st Street,0.005688740145351687
Via Marisol,0.00560122106619243
Euclid Avenue,0.00560122106619243
South Centinela Avenue,0.00560122106619243
Obama Boulevard,0.005566213434528727
North Grand Avenue,0.005461190539537619
Fountain Avenue,0.005391175276210213
South Fairfax Avenue,0.005321160012882809
6th Avenue,0.005321160012882809
I-10 Metro ExpressLanes,0.005251144749555403
Mission Road,0.0051811294862279976
South Bentley Avenue,0.0051811294862279976
Mateo Street,0.0050410989595731865
Buckingham Parkway,0.0050410989595731865
North Los Angeles Street,0.004971083696245782
West 11th Street,0.004901068432918376
Fairmount Street,0.004901068432918376
West Goldenwood Drive,0.004845056222256452
East Florence Avenue,0.0048135493537591195
West 111th Place,0.004761037906263565
North Alvarado Street,0.00469102264293616
South San Pedro Street,0.004621007379608755
East Valley Boulevard,0.004621007379608755
Beloit Avenue,0.0044284654054583894
Denver Avenue,0.004340946326299133
West 17th Street,0.004270931062971728
South Avenue 60,0.004270931062971728
West Jefferson Boulevard,0.004218419615476174
East 103rd Street,0.0040783890888213626
West 62nd Place,0.004060885272989511
South Avenue 52,0.004060885272989511
Atlantic Street,0.004060885272989511
West 23rd Street,0.003990870009662106
Folsom Street,0.003990870009662106
South Lorena Street,0.003990870009662106
South Grande Vista Avenue,0.003920854746334701
North Evergreen Avenue,0.003570778429697674
Thornburn Street,0.0035007631663702687
Figueroa Way,0.0035007631663702687
North Cahuenga Boulevard,0.0035007631663702687
Centinela Avenue,0.003430747903042863
West 12th Street,0.003360732639715458
Cahuenga Boulevard East,0.003360732639715458
Brooklyn Place,0.0033082211922199037
West 20th Street,0.0032907173763880525
Franklin Avenue,0.0032907173763880525
West 39th Street,0.003220702113060647
East Gage Avenue,0.003220702113060647
Long Beach Freeway,0.003150686849733242
East 15th Street,0.003150686849733242
I 105 West,0.003150686849733242
Toberman Street,0.0030806715864058363
East 3rd Street,0.0030806715864058363
West 7th Street,0.003010656323078431
East 14th Street,0.003010656323078431
Avalon Boulevard,0.003010656323078431
I 110 South,0.003010656323078431
Long Beach Avenue,0.0029406410597510257
Verdugo Road,0.00287062579642362
Newton Street,0.00287062579642362
North Hill Street,0.00287062579642362
W.C. Fields Drive,0.002800610533096215
West 6th Street,0.002800610533096215
Eagle Street,0.002800610533096215
San Fernando Road,0.0027305952697688094
West 43rd Street,0.0027305952697688094
West 49th Street,0.0027305952697688094
North Wilton Place,0.0026605800064414043
West 37th Street,0.0025205494797865932
South Olive Street,0.0025205494797865932
West 108th Street,0.0025205494797865932
San Pedro Street,0.0025205494797865932
East Edgeware Road,0.0025205494797865932
Beverly Boulevard,0.0025205494797865932
Monroe Street,0.0025205494797865932
West 2nd Street,0.002450534216459188
Palms Boulevard,0.0023805189531317826
Don Tomaso Drive,0.0023105036898043775
West 104th Street,0.0023105036898043775
West 27th Street,0.0023105036898043775
West 47th Street,0.0023105036898043775
South Robertson Boulevard,0.0023105036898043775
East 107th Street,0.0023105036898043775
Highland Avenue,0.0023105036898043775
Oakwood Avenue,0.002257992242308823
East Temple Street,0.002240488426476972
Hillcrest Drive,0.002240488426476972
Overland Avenue,0.002240488426476972
South Barrington Avenue,0.0021704731631495664
West 18th Street,0.0021704731631495664
Commercial Street,0.0021704731631495664
West 22nd Street,0.0021704731631495664
Towne Avenue,0.0021704731631495664
North Alameda Street,0.0021704731631495664
Bellevue Avenue,0.0021004578998221612
Atwood Street,0.0021004578998221612
East 101st Street,0.0020304426364947557
Valley Boulevard,0.0019604273731673506
Bel Air Crest Road,0.0019604273731673506
Odin Street,0.0019604273731673506
Amador Street,0.0019604273731673506
Hickory Street,0.0019604273731673506
South 1st Avenue,0.0019604273731673506
Rochester Avenue,0.0019604273731673506
Elmgrove Street,0.001890412109839945
West 99th Street,0.001890412109839945
West 115th Street,0.001890412109839945
West 56th Street,0.001890412109839945
North Spring Street,0.001890412109839945
Center Street,0.0018203968465125397
West Amberwood Drive,0.0018203968465125397
Valencia Street,0.0018203968465125397
West 88th Place,0.0018203968465125397
West 63rd Place,0.0018028930306806883
West 106th Street,0.0017503815831851344
West Cesar E Chavez Avenue,0.0017503815831851344
Cotner Avenue,0.0017503815831851344
Naomi Avenue,0.0017503815831851344
East Manchester Avenue,0.0017503815831851344
Marietta Street,0.0017503815831851344
Mulholland Drive,0.001680366319857729
Willowbrook Avenue,0.001680366319857729
Hauser Boulevard,0.001680366319857729
Overhill Drive,0.001680366319857729
Culver Boulevard,0.001680366319857729
Clinton Street,0.001680366319857729
South Alvarado Street,0.0016103510565303235
South Gramercy Place,0.0016103510565303235
Westwood Boulevard,0.0016103510565303235
Wall Street,0.0016103510565303235
West Avenue 26,0.0016103510565303235
West 28th Street,0.0015403357932029182
East Vernon Avenue,0.0015403357932029182
Motor Avenue,0.0015403357932029182
Cimarron Street,0.0015403357932029182
Barham Boulevard,0.0015403357932029182
Eagle Rock Boulevard,0.0015403357932029182
Zoo Drive,0.0014878243457073642
Green Valley Circle,0.0014703205298755128
McKinley Avenue,0.0014703205298755128
West 30th Street,0.0014703205298755128
Indiana Street,0.0014703205298755128
South Bonnie Brae Street,0.0014703205298755128
West 54th Street,0.0014703205298755128
Universal Studios Boulevard,0.0014703205298755128
Ascot Avenue,0.0014003052665481075
Budlong Avenue,0.0014003052665481075
Montana Avenue,0.0014003052665481075
East 114th Street,0.0014003052665481075
Stanford Avenue,0.0014003052665481075
Daly Street,0.0014003052665481075
Ruthelen Street,0.0013302900032207022
Cordova Street,0.0013302900032207022
Success Avenue,0.0013302900032207022
South Union Avenue,0.0013302900032207022
York Boulevard,0.0013302900032207022
West 21st Street,0.0012602747398932966
Hyperion Avenue,0.0012602747398932966
West 42nd Street,0.0012602747398932966
Ramirez Street,0.0012602747398932966
Griffin Avenue,0.0012602747398932966
Eads Street,0.0012602747398932966
South Bixel Street,0.0012602747398932966
North Marianna Avenue,0.0012602747398932966
Menlo Avenue,0.0011902594765658913
West 76th Street,0.0011902594765658913
Baring Cross Street,0.0011902594765658913
East 112th Street,0.0011902594765658913
Pleasant Avenue,0.0011902594765658913
West 64th Street,0.0011902594765658913
Farmdale Avenue,0.0011377480290703373
North Bronson Avenue,0.001120244213238486
East 57th Street,0.001120244213238486
West 9th Street,0.001120244213238486
West 69th Street,0.001120244213238486
West 83rd Street,0.001120244213238486
South Hill Street,0.001120244213238486
Solano Avenue,0.001120244213238486
South Bronson Avenue,0.001067732765742932
East 11th Street,0.001067732765742932
Avenue 20,0.0010502289499110806
West 52nd Place,0.0010502289499110806
Staunton Avenue,0.0010502289499110806
East Pico Boulevard,0.0010502289499110806
Don Lorenzo Drive,0.0010502289499110806
South Cloverdale Avenue,0.0010502289499110806
West 117th Street,0.0010502289499110806
West 79th Street,0.0010502289499110806
North Fairfax Avenue,0.0010502289499110806
West 92nd Street,0.0010502289499110806
Gilroy Street,0.0010502289499110806
Corinth Avenue,0.0010502289499110806
Airport Boulevard,0.0010502289499110806
Rodrick Road,0.0009802136865836753
Maplewood Avenue,0.0009802136865836753
West 52nd Street,0.0009802136865836753
Randall Street,0.0009802136865836753
Center Drive,0.0009802136865836753
East 18th Street,0.0009802136865836753
East Century Boulevard,0.0009802136865836753
West 85th Street,0.0009802136865836753
West 15th Street,0.0009802136865836753
West 59th Place,0.0009802136865836753
Howard Hughes Parkway,0.0009802136865836753
Humboldt Street,0.0009802136865836753
West 71st Street,0.0009802136865836753
Gateway Boulevard,0.0009802136865836753
West College Street,0.0009802136865836753
South Mansfield Avenue,0.0009277022390881212
Allesandro Street,0.0009101984232562699
West 46th Street,0.0009101984232562699
Marmion Way,0.0009101984232562699
East 83rd Street,0.0009101984232562699
Carlota Boulevard,0.0009101984232562699
Park Row Drive,0.0009101984232562699
Tilden Avenue,0.0009101984232562699
East 33rd Street,0.0008576869757607158
East 50th Street,0.0008576869757607158
Figueroa Terrace,0.0008401831599288645
East 62nd Street,0.0008401831599288645
North Oxford Avenue,0.0008401831599288645
Albright Avenue,0.0008401831599288645
West 116th Place,0.0008401831599288645
Purdue Avenue,0.0008401831599288645
South Mariposa Avenue,0.0008401831599288645
West 78th Street,0.0008261801072633834
Rosewood Avenue,0.0007701678966014591
East Aliso Street,0.0007701678966014591
Alvern Circle,0.0007701678966014591
Monterey Road,0.0007701678966014591
Hooper Avenue,0.0007701678966014591
Wiley Post Avenue,0.0007701678966014591
Academy Road,0.0007701678966014591
Cadillac Avenue,0.0007701678966014591
Francisco Street,0.0007701678966014591
Circle Drive,0.0007701678966014591
De Longpre Avenue,0.0007701678966014591
North Avenue 21,0.0007701678966014591
Dix Street,0.0007701678966014591
West 67th Street,0.0007701678966014591
Porter Street,0.0007701678966014591
North Church Lane,0.0007701678966014591
North Myers Street,0.0007701678966014591
North Pasadena Freeway,0.0007701678966014591
West 101st Street,0.0007701678966014591
Griffith Park Drive,0.000717656449105905
East 17th Street,0.0007001526332740537
Estara Avenue,0.0007001526332740537
Edgehill Drive,0.0007001526332740537
Crystal Springs Drive,0.0007001526332740537
South Norton Avenue,0.0007001526332740537
Marathon Street,0.0007001526332740537
Lawrence Street,0.0007001526332740537
Century Boulevard,0.0007001526332740537
Newell Street,0.0007001526332740537
Wilmington Avenue,0.0007001526332740537
South Avalon Boulevard,0.0007001526332740537
Calzona Street,0.0007001526332740537
Midvale Avenue,0.0007001526332740537
Washington Boulevard,0.0007001526332740537
Blaine Street,0.0006301373699466483
Military Avenue,0.0006301373699466483
West 81st Street,0.0006301373699466483
North Vignes Street,0.0006301373699466483
Scholl Canyon Road,0.0006301373699466483
Bamboo Lane,0.0006301373699466483
West 60th Street,0.0006301373699466483
Harrington Avenue,0.0006301373699466483
West 102nd Street,0.0006301373699466483
West 17th Place,0.0006301373699466483
Sepulveda Tunnel,0.0006301373699466483
San Pascual Avenue,0.0006301373699466483
Enterprise Street,0.0006301373699466483
North Highland Avenue,0.000560122106619243
West 50th Street,0.000560122106619243
Silver Ridge Avenue,0.000560122106619243
Bauchet Street,0.000560122106619243
East 20th Street,0.000560122106619243
Clyde Avenue,0.000560122106619243
Buckingham Road,0.000560122106619243
Pilgrimage Bridge,0.000560122106619243
Griffith Avenue,0.000560122106619243
East 12th Street,0.000560122106619243
Vine Street,0.000560122106619243
Cypress Avenue,0.000560122106619243
South Chicago Street,0.000560122106619243
La Puerta Street,0.000560122106619243
North New Hampshire Avenue,0.000560122106619243
Hilgard Avenue,0.000560122106619243
South Slauson Avenue,0.000560122106619243
West 58th Street,0.000560122106619243
West 84th Street,0.000560122106619243
Barton Avenue,0.000560122106619243
Michigan Avenue,0.000560122106619243
Beaudry Avenue,0.000560122106619243
Georgia Street,0.000560122106619243
Romaine Street,0.000560122106619243
South Pecan Street,0.000560122106619243
North Hobart Boulevard,0.0004901068432918376
Argyle Avenue,0.0004901068432918376
South Mathews Street,0.0004901068432918376
McGarry Street,0.0004901068432918376
Country Club Drive,0.0004901068432918376
East Martin Luther King Junior Boulevard,0.0004901068432918376
West 77th Street,0.0004901068432918376
Tennessee Avenue,0.0004901068432918376
Park Avenue,0.0004901068432918376
North Garey Street,0.0004901068432918376
North Burlington Avenue,0.0004901068432918376
Alviso Avenue,0.0004901068432918376
Echo Park Avenue,0.0004901068432918376
Holmes Avenue,0.0004901068432918376
South Breed Street,0.0004901068432918376
Robertson Boulevard,0.0004901068432918376
Saint Paul Place,0.0004901068432918376
San Vicente Boulevard,0.0004901068432918376
North Benton Way,0.0004901068432918376
Esperanza Street,0.0004901068432918376
West 48th Street,0.0004901068432918376
Avenue 36,0.0004901068432918376
East 84th Place,0.0004901068432918376
South Westmoreland Avenue,0.0004901068432918376
Innes Avenue,0.0004901068432918376
West 24th Street,0.0004901068432918376
Canterbury Drive,0.0004901068432918376
Avenue 19,0.0004901068432918376
West 59th Street,0.0004901068432918376
Richelieu Avenue,0.0004901068432918376
West 75th Street,0.00042009157996443226
Sacramento Street,0.00042009157996443226
West Colden Avenue,0.00042009157996443226
Lexington Avenue,0.00042009157996443226
Washington Place,0.00042009157996443226
West 65th Street,0.00042009157996443226
Witmer Street,0.00042009157996443226
West Aliso Street,0.00042009157996443226
West 95th Street,0.00042009157996443226
Hyde Park Boulevard,0.00042009157996443226
Dillon Street,0.00042009157996443226
West 57th Street,0.00042009157996443226
Kearney Street,0.00042009157996443226
Harold Way,0.00042009157996443226
South Saint Andrews Place,0.00042009157996443226
10th Avenue,0.00042009157996443226
Wright Street,0.00042009157996443226
East 79th Street,0.00042009157996443226
East Adams Boulevard,0.00042009157996443226
East 81st Street,0.00042009157996443226
East 30th Street,0.00042009157996443226
Strathmore Drive,0.00042009157996443226
East 111th Place,0.00042009157996443226
South Hobart Boulevard,0.00042009157996443226
North Bonnie Brae Street,0.00042009157996443226
Bellanca Avenue,0.00042009157996443226
North Virgil Avenue,0.00042009157996443226
East 85th Street,0.00042009157996443226
South Gless Street,0.00042009157996443226
World Way,0.00042009157996443226
Canyon Drive,0.00042009157996443226
Forney Street,0.00042009157996443226
South Redondo Boulevard,0.00042009157996443226
Estudillo Avenue,0.00042009157996443226
North Mott Street,0.0003500763166370269
Lou Dillon Avenue,0.0003500763166370269
West 37th Place,0.0003500763166370269
Gayley Avenue,0.0003500763166370269
Miramar Street,0.0003500763166370269
Mary Avenue,0.0003500763166370269
Graham Avenue,0.0003500763166370269
Kinross Avenue,0.0003500763166370269
London Street,0.0003500763166370269
Fir Street,0.0003500763166370269
Panama Street,0.0003500763166370269
East 109th Street,0.0003500763166370269
Hollycrest Drive,0.0003500763166370269
South Manhattan Place,0.0003500763166370269
East 113th Street,0.0003500763166370269
East 40th Place,0.0003500763166370269
Guthrie Avenue,0.0003500763166370269
South Virgil Avenue,0.0003500763166370269
Aaron Street,0.0003500763166370269
North Beverly Glen Boulevard,0.0003500763166370269
San Fernando Road West,0.0003500763166370269
Blake Avenue,0.0003500763166370269
North Beachwood Drive,0.0003500763166370269
Glenhurst Avenue,0.0003500763166370269
Madera Avenue,0.0003500763166370269
Cattaraugus Avenue,0.0003500763166370269
Aviation Boulevard,0.0003500763166370269
Santee Street,0.0003500763166370269
East 111th Street,0.0003500763166370269
Dockweiler Street,0.0003500763166370269
West 38th Street,0.0003500763166370269
Bishops Road,0.0003500763166370269
Edgemont Street,0.0003500763166370269
East 41st Place,0.0003500763166370269
La Loma Road,0.0003500763166370269
Raymond Avenue,0.0003500763166370269
West San Vicente Boulevard,0.0002800610533096215
Lugo Street,0.0002800610533096215
Nebraska Avenue,0.0002800610533096215
East 6th Street,0.0002800610533096215
Griffith Park Boulevard,0.0002800610533096215
East 119th Street,0.0002800610533096215
West Avenue 42,0.0002800610533096215
South Avenue 21,0.0002800610533096215
Shatto Place,0.0002800610533096215
East 118th Street,0.0002800610533096215
Brittania Street,0.0002800610533096215
Belmont Avenue,0.0002800610533096215
Lincoln Boulevard,0.0002800610533096215
David Avenue,0.0002800610533096215
West 93rd Street,0.0002800610533096215
East 82nd Street,0.0002800610533096215
Berryman Avenue,0.0002800610533096215
South Van Ness Avenue,0.0002800610533096215
Glasgow Place,0.0002800610533096215
Paola Avenue,0.0002800610533096215
