road_name,risk_score
Santa Monica Freeway,1.0
Golden State Freeway,0.9084990143621516
Harbor Freeway,0.8455083075190087
Noakes Street,0.7878344128414531
Hollywood Freeway,0.675922275415376
San Diego Freeway,0.5353286398197691
South Indiana Street,0.4344128414531118
Arroyo Seco Parkway,0.4303576457335962
Santa Ana Freeway,0.3528583497606308
South Central Avenue,0.25080259081948747
South Vermont Avenue,0.2078400450577302
Ventura Freeway,0.15353421571388343
Century Freeway,0.13314559279076316
Glendale Freeway,0.12548577865390032
Unnamed Road,0.11822021965643481
Pomona Freeway,0.11444663475077443
San Bernardino Freeway,0.11433399042523233
East 92nd Street,0.09777527457054351
Harbor Transitway,0.09349479019994368
South Figueroa Street,0.08797521824838074
South La Brea Avenue,0.08262461278513095
Imperial Highway,0.07231765699802872
North Indiana Street,0.07096592509152351
Veteran Avenue,0.06747395099971838
South Alameda Street,0.05880033793297663
West Vernon Avenue,0.05637848493382146
West Slauson Avenue,0.04550830751900873
Seigneur Avenue,0.04517037454238243
East 4th Street,0.043649676147564063
West Imperial Highway,0.041791044776119404
West Manchester Avenue,0.03987609124190369
Campus Road,0.03987609124190369
West Florence Avenue,0.03987609124190369
West Washington Boulevard,0.03915516755843425
Santa Monica Boulevard,0.03874964798648268
Stone Street,0.037454238242748523
East 120th Street,0.037059983103351166
Los Feliz Boulevard,0.0365418192058575
South Spinning Avenue,0.03570825119684596
West Temple Street,0.0345254857786539
South Western Avenue,0.033568009011546045
Boca Avenue,0.033568009011546045
Whittier Boulevard,0.03261053224443819
West Gage Avenue,0.03154041115178823
West Martin Luther King Junior Boulevard,0.03154041115178823
South Hoover Street,0.029963390594198818
Avenue 43,0.029738101943114617
Broadway,0.029738101943114617
Crenshaw Boulevard,0.02883694733877781
North Vermont Avenue,0.026516474232610533
L. A. Live Way,0.026415094339622643
Mona Boulevard,0.02590819487468319
Alba Street,0.02590819487468319
Fortuna Street,0.02590819487468319
East Cesar E Chavez Avenue,0.025795550549141087
West 3rd Street,0.025344973246972685
North Figueroa Street,0.02511968459588848
Percy Street,0.02478175161926218
Glendale Boulevard,0.024162207828780626
North Main Street,0.024049563503238523
Lanfranco Street,0.022303576457335963
Arlington Avenue,0.021177133201914954
Melrose Avenue,0.020951844550830753
East 58th Street,0.0206702337369755
Colorado Freeway,0.0205575894114334
South La Cienega Boulevard,0.02038862292312025
South Croft Avenue,0.020163334272036045
North State Street,0.019769079132638694
Exposition Boulevard,0.019712756969867642
North Soto Street,0.01948746831878344
East Slauson Avenue,0.018924246691072937
Stadium Way,0.01824838073782033
North Broadway,0.01807941424950718
Skirball Center Drive,0.01779780343565193
Zoo Drive North,0.017347226133483527
West Sunset Boulevard,0.017347226133483527
East 1st Street,0.017347226133483527
West 8th Place,0.017166995212616165
Riverside Drive,0.016952970994086172
