road_name,risk_score
Santa Monica Freeway,1.0
Harbor Freeway,0.8871247018850663
Golden State Freeway,0.8513672449279626
Noakes Street,0.7837400764481034
Hollywood Freeway,0.5886013917475252
San Diego Freeway,0.5852200333235322
South Indiana Street,0.4034761018001241
Arroyo Seco Parkway,0.3685353980855304
Santa Ana Freeway,0.32724035414420594
South Central Avenue,0.25043287921853047
South Vermont Avenue,0.23901466888823544
Ventura Freeway,0.1842268613806397
Century Freeway,0.13842333954065797
Glendale Freeway,0.12765853180437126
Harbor Transitway,0.12185958378254762
Unnamed Road,0.11900094743376131
Pomona Freeway,0.11356137083864223
Imperial Highway,0.11156849292691692
San Bernardino Freeway,0.1075827371034663
East 92nd Street,0.10594923061844555
South La Brea Avenue,0.09768368780424058
South Figueroa Street,0.08363553203306216
Veteran Avenue,0.07994380737691528
West Vernon Avenue,0.07938841517200823
North Indiana Street,0.05700937632722402
West Manchester Avenue,0.056257963344114474
Santa Monica Boulevard,0.05292561011467215
Los Feliz Boulevard,0.052598908817668
East 120th Street,0.05178215557515763
West Slauson Avenue,0.04598320755333399
Campus Road,0.044431376392564274
East 4th Street,0.044186350419811164
South Western Avenue,0.043614623150053905
West Imperial Highway,0.04302656081544643
Seigneur Avenue,0.040510960828514485
Skirball Center Drive,0.03864876343559084
Percy Street,0.03799536084158254
West Florence Avenue,0.037635989414877974
Glendale Boulevard,0.03740729850697507
South Alameda Street,0.036427194615962624
South Hoover Street,0.035937142670456404
West Gage Avenue,0.03487536345519292
South Spinning Avenue,0.030383220621385865
Mona Boulevard,0.028847724525466363
Whittier Boulevard,0.02883138946061616
Boca Avenue,0.02809631154235682
West Sunset Boulevard,0.026299454408834
North Soto Street,0.025809402463327778
Waterford Street,0.02548270116632363
Lanfranco Street,0.02482929857231533
Avenue 43,0.02450259727531118
National Boulevard,0.02450259727531118
West Temple Street,0.023685844032800808
North San Fernando Road,0.023195792087294585
Exposition Boulevard,0.023195792087294585
West Washington Boulevard,0.022869090790290435
Riverside Drive,0.021643960926524878
Fortuna Street,0.02162762586167467
East 58th Street,0.02156228560227384
South Croft Avenue,0.021398934953771764
Alba Street,0.02123558430526969
East Cesar E Chavez Avenue,0.02099055833251658
West 3rd Street,0.02090888300826554
North Broadway,0.020745532359763466
Colorado Freeway,0.020745532359763466
North Main Street,0.02058218171126139
South La Cienega Boulevard,0.02058218171126139
Stone Street,0.02033715573850828
West 63rd Street,0.019275376523244795
North Figueroa Street,0.01911202587474272
Ohio Avenue,0.018948675226240646
Silver Lake Boulevard,0.018458623280734426
Lansdowne Avenue,0.01829527263223235
West Martin Luther King Junior Boulevard,0.01829527263223235
Fletcher Drive,0.016988467444215755
South Santa Fe Avenue,0.01682511679571368
South Normandie Avenue,0.016335064850207456
North State Street,0.016335064850207456
East Slauson Avenue,0.016008363553203307
South Bentley Avenue,0.016008363553203307
West Olympic Boulevard,0.016008363553203307
Stadium Way,0.016008363553203307
East 1st Street,0.015436636283446045
West El Segundo Boulevard,0.01509359992159169
