road_name,risk_score
Hollywood Freeway,1.0
Noakes Street,0.96875
Imperial Highway,0.75
Santa Ana Freeway,0.34375
San Diego Freeway,0.3125
Harbor Freeway,0.3125
Santa Monica Freeway,0.28125
Century Freeway,0.25
Golden State Freeway,0.1875
Arroyo Seco Parkway,0.1875
Overland Avenue,0.1875
North Grand Avenue,0.1875
Harbor Transitway,0.15625
South Indiana Street,0.15625
Ventura Freeway,0.15625
Unnamed Road,0.125
Pomona Freeway,0.125
West Temple Street,0.125
South La Cienega Boulevard,0.09375
West Washington Boulevard,0.09375
Fortuna Street,0.09375
San Bernardino Freeway,0.09375
East Olympic Boulevard,0.09375
South Vermont Avenue,0.09375
South Central Avenue,0.09375
6th Street,0.0625
Broadway,0.0625
West Vernon Avenue,0.0625
West Imperial Highway,0.0625
East Slauson Avenue,0.0625
West Florence Avenue,0.03125
East Washington Boulevard,0.03125
Los Feliz Boulevard,0.03125
Santa Monica Boulevard,0.03125
North Vermont Avenue,0.03125
Mission Road,0.03125
Center Street,0.03125
Zoo Drive North,0.03125
Veteran Avenue,0.03125
Skirball Center Drive,0.03125
North Normandie Avenue,0.03125
East 120th Street,0.03125
West 106th Street,0.03125
South Halldale Avenue,0.03125
South Church Lane,0.03125
West 7th Street,0.03125
Ohio Avenue,0.03125
West 47th Street,0.03125
North New Hampshire Avenue,0.03125
Bridewell Street,0.03125
