road_name,risk_score
Santa Monica Freeway,1.0
Golden State Freeway,0.975609756097561
Arroyo Seco Parkway,0.8821138211382114
Harbor Freeway,0.741869918699187
Hollywood Freeway,0.7113821138211383
San Diego Freeway,0.5447154471544715
Noakes Street,0.5121951219512195
Santa Ana Freeway,0.45934959349593496
South Indiana Street,0.45121951219512196
Glendale Freeway,0.3048780487804878
Century Freeway,0.23373983739837398
Ventura Freeway,0.17276422764227642
Pomona Freeway,0.16463414634146342
Imperial Highway,0.16260162601626016
South Vermont Avenue,0.16056910569105692
San Bernardino Freeway,0.1524390243902439
South Central Avenue,0.15040650406504066
Unnamed Road,0.09959349593495935
East 92nd Street,0.08536585365853659
South La Brea Avenue,0.08536585365853659
Harbor Transitway,0.08333333333333333
Campus Road,0.07317073170731707
Veteran Avenue,0.07113821138211382
South La Cienega Boulevard,0.06707317073170732
Mona Boulevard,0.06707317073170732
West Imperial Highway,0.06097560975609756
Grape Street,0.054878048780487805
North Figueroa Street,0.0508130081300813
Via Marisol,0.0508130081300813
Santa Monica Boulevard,0.04878048780487805
East Slauson Avenue,0.046747967479674794
West Manchester Avenue,0.046747967479674794
East 120th Street,0.04065040650406504
North State Street,0.03861788617886179
North Indiana Street,0.03861788617886179
South Alameda Street,0.036585365853658534
Bridewell Street,0.036585365853658534
Los Feliz Boulevard,0.036585365853658534
East 4th Street,0.034552845528455285
Colorado Freeway,0.034552845528455285
West Temple Street,0.032520325203252036
South Western Avenue,0.032520325203252036
Forest Lawn Drive,0.032520325203252036
Seigneur Avenue,0.03048780487804878
South Figueroa Street,0.03048780487804878
Percy Street,0.028455284552845527
West 104th Street,0.028455284552845527
Stone Street,0.026422764227642278
Glendale Boulevard,0.026422764227642278
South Santa Fe Avenue,0.026422764227642278
Fletcher Drive,0.026422764227642278
Fortuna Street,0.026422764227642278
West Adams Boulevard,0.024390243902439025
Hollywood Boulevard,0.024390243902439025
Maple Avenue,0.024390243902439025
Avenue 43,0.024390243902439025
South Avenue 60,0.024390243902439025
West El Segundo Boulevard,0.022357723577235773
West Gage Avenue,0.022357723577235773
South Bundy Drive,0.022357723577235773
West Florence Avenue,0.022357723577235773
Riverside Drive,0.022357723577235773
Zoo Drive North,0.022357723577235773
West Sunset Boulevard,0.022357723577235773
Skirball Center Drive,0.022357723577235773
South Hoover Street,0.02032520325203252
East 58th Street,0.02032520325203252
Cahuenga Boulevard West,0.02032520325203252
West Washington Boulevard,0.02032520325203252
Boca Avenue,0.02032520325203252
Estudillo Avenue,0.02032520325203252
North Broadway,0.02032520325203252
Avenue 64,0.02032520325203252
South Main Street,0.02032520325203252
East Olympic Boulevard,0.016260162601626018
Beswick Street,0.016260162601626018
Colorado Boulevard,0.016260162601626018
