road_name,risk_score
Santa Monica Freeway,1.0
Golden State Freeway,0.8293852553732378
Arroyo Seco Parkway,0.7580887450889762
Hollywood Freeway,0.708805176796857
Harbor Freeway,0.6105847007164317
San Diego Freeway,0.4343656112780217
Noakes Street,0.42893459671828055
South Indiana Street,0.4028195054310146
Ventura Freeway,0.37058007857638087
Santa Ana Freeway,0.30332794083660736
Imperial Highway,0.26912410446036517
Century Freeway,0.2655419459209614
Pomona Freeway,0.19551652415068177
Glendale Freeway,0.1784723827131962
San Bernardino Freeway,0.12768661890455282
Harbor Transitway,0.12525999537785995
South Vermont Avenue,0.12283337185116709
South La Brea Avenue,0.11613126877744397
South Central Avenue,0.11555350127108852
South Alameda Street,0.08724289345967183
West Imperial Highway,0.08088745088976196
Unnamed Road,0.07187427779061706
Glendale Boulevard,0.06817656574994223
Campus Road,0.0623988906863878
North Figueroa Street,0.05777675063554426
Veteran Avenue,0.056852322625375554
North Indiana Street,0.05373237809105616
Via Marisol,0.05292350358215854
National Boulevard,0.05084354055927895
Sepulveda Boulevard,0.05084354055927895
South Figueroa Street,0.04679916801479085
West Slauson Avenue,0.04679916801479085
Avenue 43,0.04506586549572452
Seigneur Avenue,0.04419921423619136
Mona Boulevard,0.04391033048301363
Los Feliz Boulevard,0.0433325629766582
South La Cienega Boulevard,0.04044372544488098
Marmion Way,0.03813265541945921
Boca Avenue,0.03784377166628149
James M Wood Boulevard,0.036977120406748325
West Florence Avenue,0.03639935290039288
Avenue 26,0.03466605038132656
W.C. Fields Drive,0.03235498035590478
North San Fernando Road,0.0311994453431939
West El Segundo Boulevard,0.029466142824127572
Santa Monica Boulevard,0.02888837531777213
West Sunset Boulevard,0.02796394730760342
Riverside Drive,0.026577305292350358
West Manchester Avenue,0.026577305292350358
Exposition Boulevard,0.024266235266928587
West Olympic Boulevard,0.024266235266928587
North State Street,0.024266235266928587
South Hoover Street,0.02403512826438641
West Temple Street,0.023110700254217704
East 58th Street,0.023052923503582158
North Soto Street,0.02253293274786226
Alba Street,0.02224404899468454
Beswick Street,0.021955165241506817
Cahuenga Boulevard West,0.021955165241506817
North Broadway,0.021955165241506817
West Vernon Avenue,0.021955165241506817
Colorado Boulevard,0.018488560203374162
South Avenue 60,0.018488560203374162
Bridewell Street,0.018488560203374162
Denker Avenue,0.01733302519066328
South Spinning Avenue,0.01733302519066328
Fairmount Street,0.017101918188121103
Wilshire Boulevard,0.016755257684307835
Stone Street,0.01617749017795239
East 4th Street,0.01617749017795239
Percy Street,0.015021955165241508
East 92nd Street,0.015021955165241508
West 4th Street,0.014444187658886064
Elmgrove Street,0.014097527155072799
East 120th Street,0.013866420152530623
North Spring Street,0.013866420152530623
Skirball Center Drive,0.013866420152530623
Arcadia Street,0.012999768892997457
Melrose Avenue,0.012710885139819737
West 17th Street,0.012710885139819737
West 120th Street,0.012710885139819737
South Western Avenue,0.012710885139819737
Odin Street,0.012710885139819737
West 51st Street,0.012710885139819737
Worth Street,0.011844233880286574
West Venice Boulevard,0.011555350127108852
South Sepulveda Boulevard,0.011555350127108852
East 8th Street,0.011555350127108852
South Fairfax Avenue,0.011555350127108852
West 37th Street,0.011555350127108852
Marina Freeway,0.011555350127108852
Fletcher Drive,0.011324243124566676
South Palm Grove Avenue,0.010630922116940143
Brooklyn Place,0.010399815114397967
East Washington Boulevard,0.010399815114397967
South Normandie Avenue,0.010399815114397967
South Hope Street,0.010399815114397967
West Century Boulevard,0.010399815114397967
Mateo Street,0.010399815114397967
East 103rd Street,0.010399815114397967
North Main Street,0.010399815114397967
North Rampart Boulevard,0.010399815114397967
Arroyo Drive,0.010399815114397967
East 1st Street,0.009822047608042525
East 115th Street,0.009822047608042525
Gabriel Garcia Marquez Street,0.009822047608042525
West 6th Street,0.009822047608042525
South Croft Avenue,0.009244280101687081
Toberman Street,0.009244280101687081
West 2nd Street,0.009244280101687081
West 108th Street,0.009244280101687081
